id_amat;nome;linee;LONG_X_4326;LAT_Y_4326;Location
889;TRE TORRI;5;9.15667532734001;45.478140184674;"(45.478140184674, 9.15667532734001)"
890;ZARA;"3,5";9.19260110788448;45.4926644010284;"(45.4926644010284, 9.19260110788448)"
891;WAGNER;1;9.15591440789601;45.4679501010333;"(45.4679501010333, 9.15591440789601)"
892;VIMODRONE;2;9.28598910784982;45.5157833010196;"(45.5157833010196, 9.28598910784982)"
893;VILLA S.G.;1;9.22613020787423;45.5174545010237;"(45.5174545010237, 9.22613020787423)"
894;VILLA POMPEA;2;9.38497435183026;45.5278485186639;"(45.5278485186639, 9.38497435183026)"
895;VILLA FIORITA;2;9.34597136677814;45.5207397997328;"(45.5207397997328, 9.34597136677814)"
896;URUGUAY;1;9.12054590791373;45.4937169010335;"(45.4937169010335, 9.12054590791373)"
897;UDINE;2;9.23699640786635;45.4912044010253;"(45.4912044010253, 9.23699640786635)"
898;TURRO;1;9.22100470787404;45.5004455010256;"(45.5004455010256, 9.22100470787404)"
899;TURATI;3;9.19470670788128;45.4750407010298;"(45.4750407010298, 9.19470670788128)"
900;SONDRIO;3;9.20055840788091;45.489990201028;"(45.489990201028, 9.20055840788091)"
901;S.LEONARDO;1;9.10148120792243;45.5011555010342;"(45.5011555010342, 9.10148120792243)"
902;SESTO RONDO;1;9.23124580787439;45.5341593010219;"(45.5341593010219, 9.23124580787439)"
903;SESTO MARELLI;1;9.22796150787429;45.523477101023;"(45.523477101023, 9.22796150787429)"
904;SESTO 1 MAGGIO FS;1;9.23833340787253;45.5416912010207;"(45.5416912010207, 9.23833340787253)"
905;SEGESTA;5;9.13789399368297;45.4763587387451;"(45.4763587387451, 9.13789399368297)"
906;SAN SIRO STADIO;5;9.11831543256738;45.4762588946168;"(45.4762588946168, 9.11831543256738)"
907;SAN SIRO IPPODROMO;5;9.12901244641325;45.4762089724848;"(45.4762089724848, 9.12901244641325)"
908;SAN DONATO;3;9.25623390785034;45.4292064010295;"(45.4292064010295, 9.25623390785034)"
909;SAN BABILA;1;9.197528607879;45.4665214010304;"(45.4665214010304, 9.197528607879)"
910;S.AMBROGIO;2;9.1731680078882;45.4616239010326;"(45.4616239010326, 9.1731680078882)"
911;S.AGOSTINO;2;9.16981440788915;45.4586201010331;"(45.4586201010331, 9.16981440788915)"
