,Neighborhoods,Latitude,Longitude
82," GORLA, Milano, MI , Italia",45.5049445,9.2245393
83," QUARTIERE ADRIANO, Milano, MI , Italia",45.5160356,9.2444433
84,"MAGGIOLINA, Milano, MI , Italia",45.4920365,9.2018846
85," PARCO TROTTER, Milano, MI , Italia",45.494495900000004,9.22419935442353
86," LEONCAVALLO, Milano, MI , Italia",45.490367,9.2247833
87,"BAGGIO, Milano, MI , Italia",45.4613839,9.089843
88," MUGGIANO, Milano, MI , Italia",45.4510311,9.0697581
89,"GALLARATESE, Milano, MI , Italia",45.4980249,9.1086684
90," LAMPUGNANO, Milano, MI , Italia",45.4866108,9.1250144
91," P. TRENNO, Milano, MI , Italia",45.4906416,9.1008711
92," BONOLA, Milano, MI , Italia",45.4971385,9.1098414
93,"MISSAGLIA, Milano, MI , Italia",45.7087169,9.335754
94," GRATOSOGLIO, Milano, MI , Italia",45.407321,9.1712557
95,"QUARTO OGGIARO, Milano, MI , Italia",45.5143752,9.1406811
96," SACCO, Milano, MI , Italia",45.5203654,9.123898569900575
